Year,Driver Name,Driver Number,Race Location,Date,Session Name,Session Type,Fastest Lap Time
2024,Max Verstappen,1,"Marina Bay, Singapore",2024-09-22,Race,Race,1:35.967
2024,Max Verstappen,1,"Austin, United States",2024-10-18,Practice 1,Practice,1:33.855
2024,Max Verstappen,1,"Austin, United States",2024-10-18,Sprint Qualifying,Qualifying,1:32.833
2024,Max Verstappen,1,"Austin, United States",2024-10-19,Sprint,Race,1:37.463
2024,Max Verstappen,1,"Austin, United States",2024-10-19,Qualifying,Qualifying,1:32.361
2024,Max Verstappen,1,"Austin, United States",2024-10-20,Race,Race,1:38.117
2024,Max Verstappen,1,"Mexico City, Mexico",2024-10-25,Practice 1,Practice,1:18.839
2024,Max Verstappen,1,"Mexico City, Mexico",2024-10-25,Practice 2,Practice,1:28.234
2024,Max Verstappen,1,"Mexico City, Mexico",2024-10-26,Practice 3,Practice,1:17.003
2024,Max Verstappen,1,"Mexico City, Mexico",2024-10-26,Qualifying,Qualifying,1:16.171
2024,Max Verstappen,1,"Mexico City, Mexico",2024-10-27,Race,Race,1:20.872
2024,Max Verstappen,1,"São Paulo, Brazil",2024-11-01,Practice 1,Practice,1:11.712
2024,Max Verstappen,1,"São Paulo, Brazil",2024-11-01,Sprint Qualifying,Qualifying,1:9.219
2024,Max Verstappen,1,"São Paulo, Brazil",2024-11-02,Sprint,Race,1:11.852
2024,Max Verstappen,1,"São Paulo, Brazil",2024-11-02,Qualifying,Qualifying,N/A
2024,Max Verstappen,1,"São Paulo, Brazil",2024-11-03,Race,Race,1:20.472
2024,Max Verstappen,1,"Las Vegas, United States",2024-11-22,Practice 1,Practice,1:36.038
2024,Max Verstappen,1,"Las Vegas, United States",2024-11-22,Practice 2,Practice,1:35.834
2024,Max Verstappen,1,"Las Vegas, United States",2024-11-23,Practice 3,Practice,1:34.137
2024,Max Verstappen,1,"Las Vegas, United States",2024-11-23,Qualifying,Qualifying,1:32.797
2024,Max Verstappen,1,"Las Vegas, United States",2024-11-24,Race,Race,1:36.248
2024,Max Verstappen,1,"Lusail, Qatar",2024-11-29,Practice 1,Practice,1:23.213
2024,Max Verstappen,1,"Lusail, Qatar",2024-11-29,Sprint Qualifying,Qualifying,1:21.315
2024,Max Verstappen,1,"Lusail, Qatar",2024-11-30,Sprint,Race,1:24.577
