Year,Driver Name,Driver Number,Race Location,Date,Session Name,Session Type,Fastest Lap Time
2024,M VERSTAPPEN,1,"Spa-Francorchamps, Belgium",2024-07-27,Qualifying,Qualifying,1:53.159
2024,S PEREZ,11,"Spa-Francorchamps, Belgium",2024-07-28,Race,Race,1:44.701
2024,L NORRIS,4,"Zandvoort, Netherlands",2024-08-23,Practice 1,Practice,1:12.322
2024,G RUSSELL,63,"Zandvoort, Netherlands",2024-08-23,Practice 2,Practice,1:10.702
2024,P GASLY,10,"Zandvoort, Netherlands",2024-08-24,Practice 3,Practice,1:20.311
2024,L NORRIS,4,"Zandvoort, Netherlands",2024-08-24,Qualifying,Qualifying,1:10.074
2024,L NORRIS,4,"Zandvoort, Netherlands",2024-08-25,Race,Race,1:13.817
2024,M VERSTAPPEN,1,"Monza, Italy",2024-08-30,Practice 1,Practice,1:21.676
2024,L HAMILTON,44,"Monza, Italy",2024-08-30,Practice 2,Practice,1:20.738
2024,L HAMILTON,44,"Monza, Italy",2024-08-31,Practice 3,Practice,1:20.117
2024,L NORRIS,4,"Monza, Italy",2024-08-31,Qualifying,Qualifying,1:19.401
2024,L NORRIS,4,"Monza, Italy",2024-09-01,Race,Race,1:21.432
2024,M VERSTAPPEN,1,"Baku, Azerbaijan",2024-09-13,Practice 1,Practice,1:45.546
2024,C LECLERC,16,"Baku, Azerbaijan",2024-09-13,Practice 2,Practice,1:43.484
2024,G RUSSELL,63,"Baku, Azerbaijan",2024-09-14,Practice 3,Practice,1:42.514
2024,C LECLERC,16,"Baku, Azerbaijan",2024-09-14,Qualifying,Qualifying,1:41.610
2024,L NORRIS,4,"Baku, Azerbaijan",2024-09-15,Race,Race,1:45.255
2024,C LECLERC,16,"Marina Bay, Singapore",2024-09-20,Practice 1,Practice,1:31.763
2024,L NORRIS,4,"Marina Bay, Singapore",2024-09-20,Practice 2,Practice,1:30.727
2024,L NORRIS,4,"Marina Bay, Singapore",2024-09-21,Practice 3,Practice,1:29.646
2024,M VERSTAPPEN,1,"Marina Bay, Singapore",2024-09-21,Qualifying,Qualifying,1:29.791
2024,D RICCIARDO,3,"Marina Bay, Singapore",2024-09-22,Race,Race,1:34.486
2024,C SAINZ,55,"Austin, United States",2024-10-18,Practice 1,Practice,1:33.602
2024,M VERSTAPPEN,1,"Austin, United States",2024-10-18,Sprint Qualifying,Qualifying,1:32.833
2024,C SAINZ,55,"Austin, United States",2024-10-19,Sprint,Race,1:37.552
2024,L NORRIS,4,"Austin, United States",2024-10-19,Qualifying,Qualifying,1:32.330
2024,E OCON,31,"Austin, United States",2024-10-20,Race,Race,1:37.330
2024,G RUSSELL,63,"Mexico City, Mexico",2024-10-25,Practice 1,Practice,1:17.998
2024,C SAINZ,55,"Mexico City, Mexico",2024-10-25,Practice 2,Practice,1:17.699
2024,O PIASTRI,81,"Mexico City, Mexico",2024-10-26,Practice 3,Practice,1:16.492
2024,C SAINZ,55,"Mexico City, Mexico",2024-10-26,Qualifying,Qualifying,1:16.055
2024,C LECLERC,16,"Mexico City, Mexico",2024-10-27,Race,Race,1:18.336
2024,L NORRIS,4,"São Paulo, Brazil",2024-11-01,Practice 1,Practice,1:10.610
2024,L NORRIS,4,"São Paulo, Brazil",2024-11-01,Sprint Qualifying,Qualifying,1:8.928
2024,S PEREZ,11,"São Paulo, Brazil",2024-11-02,Sprint,Race,1:11.678
2024,L NORRIS,4,"São Paulo, Brazil",2024-11-02,Qualifying,Qualifying,1:23.405
2024,M VERSTAPPEN,1,"São Paulo, Brazil",2024-11-03,Race,Race,1:20.472
2024,L HAMILTON,44,"Las Vegas, United States",2024-11-22,Practice 1,Practice,1:35.001
2024,L HAMILTON,44,"Las Vegas, United States",2024-11-22,Practice 2,Practice,1:33.825
2024,G RUSSELL,63,"Las Vegas, United States",2024-11-23,Practice 3,Practice,1:33.570
2024,G RUSSELL,63,"Las Vegas, United States",2024-11-23,Qualifying,Qualifying,1:32.811
2024,L NORRIS,4,"Las Vegas, United States",2024-11-24,Race,Race,1:34.372
2024,C LECLERC,16,"Lusail, Qatar",2024-11-29,Practice 1,Practice,1:21.953
2024,L NORRIS,4,"Lusail, Qatar",2024-11-29,Sprint Qualifying,Qualifying,1:21.012
2024,C LECLERC,16,"Lusail, Qatar",2024-11-30,Sprint,Race,1:23.923
2024,G RUSSELL,63,"Lusail, Qatar",2024-11-30,Qualifying,Qualifying,1:20.575
2024,L NORRIS,4,"Lusail, Qatar",2024-12-01,Race,Race,1:22.384
2024,L NORRIS,4,"Yas Island, United Arab Emirates",2024-12-06,Practice 1,Practice,1:24.542
2024,L NORRIS,4,"Yas Island, United Arab Emirates",2024-12-06,Practice 2,Practice,1:23.517
2024,O PIASTRI,81,"Yas Island, United Arab Emirates",2024-12-07,Practice 3,Practice,1:23.433
2024,M VERSTAPPEN,1,"Yas Island, United Arab Emirates",2024-12-07,Qualifying,Qualifying,1:22.945
2024,K MAGNUSSEN,20,"Yas Island, United Arab Emirates",2024-12-08,Race,Race,1:25.637
2025,L NORRIS,4,"Sakhir, Bahrain",2025-02-26,Day 1,Practice,1:30.430
2025,C SAINZ,55,"Sakhir, Bahrain",2025-02-27,Day 2,Practice,1:29.348
2025,G RUSSELL,63,"Sakhir, Bahrain",2025-02-28,Day 3,Practice,1:29.545
2025,L NORRIS,4,"Melbourne, Australia",2025-03-14,Practice 1,Practice,1:17.252
2025,C LECLERC,16,"Melbourne, Australia",2025-03-14,Practice 2,Practice,1:16.439
2025,O PIASTRI,81,"Melbourne, Australia",2025-03-15,Practice 3,Practice,1:15.921
2025,O PIASTRI,81,"Melbourne, Australia",2025-03-15,Qualifying,Qualifying,1:15.468
2025,L NORRIS,4,"Melbourne, Australia",2025-03-16,Race,Race,1:22.167
2025,L NORRIS,4,"Shanghai, China",2025-03-21,Practice 1,Practice,1:31.504
2025,L HAMILTON,44,"Shanghai, China",2025-03-21,Sprint Qualifying,Qualifying,1:30.849
2025,L HAMILTON,44,"Shanghai, China",2025-03-22,Sprint,Race,1:35.399
2025,O PIASTRI,81,"Shanghai, China",2025-03-22,Qualifying,Qualifying,1:30.703
2025,L HAMILTON,44,"Shanghai, China",2025-03-23,Race,Race,1:35.069
2025,L NORRIS,4,"Suzuka, Japan",2025-04-04,Practice 1,Practice,1:28.549
2025,O PIASTRI,81,"Suzuka, Japan",2025-04-04,Practice 2,Practice,1:28.114
2025,L NORRIS,4,"Suzuka, Japan",2025-04-05,Practice 3,Practice,1:27.965
2025,O PIASTRI,81,"Suzuka, Japan",2025-04-05,Qualifying,Qualifying,1:27.052
2025,K ANTONELLI,12,"Suzuka, Japan",2025-04-06,Race,Race,1:30.965
2025,L NORRIS,4,"Sakhir, Bahrain",2025-04-11,Practice 1,Practice,1:33.204
2025,O PIASTRI,81,"Sakhir, Bahrain",2025-04-11,Practice 2,Practice,1:30.505
2025,O PIASTRI,81,"Sakhir, Bahrain",2025-04-12,Practice 3,Practice,1:31.646
2025,O PIASTRI,81,"Sakhir, Bahrain",2025-04-12,Qualifying,Qualifying,1:30.233
2025,O PIASTRI,81,"Sakhir, Bahrain",2025-04-13,Race,Race,1:35.140
2025,P GASLY,10,"Jeddah, Saudi Arabia",2025-04-18,Practice 1,Practice,1:29.239
2025,L NORRIS,4,"Jeddah, Saudi Arabia",2025-04-18,Practice 2,Practice,1:28.267
2025,L NORRIS,4,"Jeddah, Saudi Arabia",2025-04-19,Practice 3,Practice,1:27.489
2025,L NORRIS,4,"Jeddah, Saudi Arabia",2025-04-19,Qualifying,Qualifying,1:27.481
2025,L NORRIS,4,"Jeddah, Saudi Arabia",2025-04-20,Race,Race,1:31.778
2025,O PIASTRI,81,"Miami, United States",2025-05-02,Practice 1,Practice,1:27.128
2025,K ANTONELLI,12,"Miami, United States",2025-05-02,Sprint Qualifying,Qualifying,1:26.482
2025,L HAMILTON,44,"Miami, United States",2025-05-03,Sprint,Race,1:36.368
2025,O PIASTRI,81,"Miami, United States",2025-05-03,Qualifying,Qualifying,1:26.269
2025,L NORRIS,4,"Miami, United States",2025-05-04,Race,Race,1:29.746
2025,O PIASTRI,81,"Imola, Italy",2025-05-16,Practice 1,Practice,1:16.545
2025,O PIASTRI,81,"Imola, Italy",2025-05-16,Practice 2,Practice,1:15.293
2025,L NORRIS,4,"Imola, Italy",2025-05-17,Practice 3,Practice,1:14.897
2025,M VERSTAPPEN,1,"Imola, Italy",2025-05-17,Qualifying,Qualifying,1:14.704
2025,M VERSTAPPEN,1,"Imola, Italy",2025-05-18,Race,Race,1:17.988
2025,C LECLERC,16,"Monaco, Monaco",2025-05-23,Practice 1,Practice,1:11.964
2025,C LECLERC,16,"Monaco, Monaco",2025-05-23,Practice 2,Practice,1:11.355
2025,C LECLERC,16,"Monaco, Monaco",2025-05-24,Practice 3,Practice,1:10.953
2025,L NORRIS,4,"Monaco, Monaco",2025-05-24,Qualifying,Qualifying,1:9.954
2025,L NORRIS,4,"Monaco, Monaco",2025-05-25,Race,Race,1:13.221
2025,L NORRIS,4,"Barcelona, Spain",2025-05-30,Practice 1,Practice,1:13.718
2025,O PIASTRI,81,"Barcelona, Spain",2025-05-30,Practice 2,Practice,1:12.760
2025,O PIASTRI,81,"Barcelona, Spain",2025-05-31,Practice 3,Practice,1:12.387
2025,L NORRIS,4,"Barcelona, Spain",2025-05-31,Qualifying,Qualifying,1:11.755
2025,O PIASTRI,81,"Barcelona, Spain",2025-06-01,Race,Race,1:15.743
2025,M VERSTAPPEN,1,"Montréal, Canada",2025-06-13,Practice 1,Practice,1:13.193
2025,G RUSSELL,63,"Montréal, Canada",2025-06-13,Practice 2,Practice,1:12.123
2025,L NORRIS,4,"Montréal, Canada",2025-06-14,Practice 3,Practice,1:11.799
2025,G RUSSELL,63,"Montréal, Canada",2025-06-14,Qualifying,Qualifying,1:10.899
2025,G RUSSELL,63,"Montréal, Canada",2025-06-15,Race,Race,1:14.119
2025,G RUSSELL,63,"Spielberg, Austria",2025-06-27,Practice 1,Practice,1:5.542
2025,L NORRIS,4,"Spielberg, Austria",2025-06-27,Practice 2,Practice,1:4.580
2025,L NORRIS,4,"Spielberg, Austria",2025-06-28,Practice 3,Practice,1:4.324
2025,L NORRIS,4,"Spielberg, Austria",2025-06-28,Qualifying,Qualifying,1:3.971
2025,O PIASTRI,81,"Spielberg, Austria",2025-06-29,Race,Race,1:7.924
2025,L HAMILTON,44,"Silverstone, United Kingdom",2025-07-04,Practice 1,Practice,1:26.892
2025,L NORRIS,4,"Silverstone, United Kingdom",2025-07-04,Practice 2,Practice,1:25.816
2025,C LECLERC,16,"Silverstone, United Kingdom",2025-07-05,Practice 3,Practice,1:25.498
2025,M VERSTAPPEN,1,"Silverstone, United Kingdom",2025-07-05,Qualifying,Qualifying,1:24.892
2025,O PIASTRI,81,"Silverstone, United Kingdom",2025-07-06,Race,Race,1:29.337
